0x92 0x24 0x24 0x00 #36 RPM +
0x92 0x23 0x23 0x00 #35 RPM +
0x92 0x22 0x22 0x00 #34 RPM +
0x92 0x21 0x21 0x00 #33 RPM +
0x92 0x20 0x20 0x00 #32 RPM +
0x92 0x1F 0x1F 0x00 #31 RPM +
0x92 0x1E 0x1E 0x00 #30 RPM +
0x92 0x1D 0x1D 0x00 #29 RPM +
0x92 0x1C 0x1C 0x00 #28 RPM +
0x92 0x1B 0x1B 0x00 #27 RPM +
0x92 0x1A 0x1A 0x00 #26 RPM +
0x92 0x19 0x19 0x00 #25 RPM +
0x92 0x18 0x18 0x00 #24 RPM +
0x92 0x17 0x17 0x00 #23 RPM +
0x92 0x16 0x16 0x00 #22 RPM +
0x92 0x15 0x15 0x00 #21 RPM +
0x92 0x14 0x14 0x00 #20 RPM
0x92 0x13 0x13 0x00 #19 RPM
0x92 0x12 0x12 0x00 #18 RPM
0x92 0x11 0x11 0x00 #17 RPM
0x92 0x10 0x10 0x00 #16 RPM
0x92 0x0F 0x0F 0x00 #15 RPM
0x92 0x0E 0x0E 0x00 #14 RPM
0x92 0x0D 0x0D 0x00 #13 RPM
0x92 0x0C 0x0C 0x00 #12 RPM
0x92 0x0B 0x0B 0x00 #11 RPM
0x92 0x0A 0x0A 0x00 #10 RPM
0x92 0x09 0x09 0x00 #09 RPM
0x92 0x08 0x08 0x00 #08 RPM
0x92 0x07 0x07 0x00 #07 RPM
0x92 0x06 0x06 0x00 #06 RPM
0x92 0x05 0x05 0x00 #05 RPM
0x92 0x04 0x04 0x00 #04 RPM
0x92 0x03 0x03 0x00 #03 RPM
0x92 0x02 0x02 0x00 #02 RPM
0x92 0x01 0x01 0x00 #01 RPM
0x92 0x00 0x00 0x00 #00 RPM
